City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
241,saint-pierre,-21.3393,55.4781,78.48,78,20,12.66,RE,1704653718
242,lima,-12.0432,-77.0282,75.45,69,0,18.41,PE,1704653760
243,bathsheba,13.2167,-59.5167,84.81,70,40,19.57,BB,1704653922
244,mount isa,-20.7333,139.5,73.17,100,100,5.75,AU,1704653923
245,saint-philippe,-21.3585,55.7679,78.39,83,67,12.44,RE,1704653923
246,basco,20.4487,121.9702,73.99,74,44,23.4,PH,1704653923
247,tweed heads,-28.1817,153.547,72.97,99,100,2.3,AU,1704653923
248,sandnessjoen,66.0217,12.6316,34.32,93,75,24.16,NO,1704653923
249,federal,-30.9547,-58.7833,73.08,84,100,2.15,AR,1704653923
250,porto novo,6.4965,2.6036,85.82,78,54,8.9,BJ,1704653924
251,san andres,12.5847,-81.7006,86.02,70,20,14.97,CO,1704653924
252,susuman,62.7833,148.1667,-31.74,98,100,3.47,RU,1704653924
253,camabatela,-8.1881,15.375,63.95,84,100,2.86,AO,1704653924
254,antsiranana,-12.2787,49.2917,78.66,89,100,4.5,MG,1704653832
255,pemangkat,1.1667,108.9667,77.59,88,100,4.92,ID,1704653925
256,port douglas,-16.4833,145.4667,80.19,78,100,4.38,AU,1704653925
257,cockburn town,21.4612,-71.1419,78.51,76,1,11.5,TC,1704653925
258,guerrero negro,27.9769,-114.0611,64.9,48,6,18.07,MX,1704653925
259,quellon,-43.1167,-73.6167,58.1,86,96,6.98,CL,1704653925
260,boguchany,58.3814,97.4531,-18.15,100,29,3.0,RU,1704653925
261,elk city,35.412,-99.4043,48.42,53,0,25.32,US,1704653677
262,rehoboth,-23.3167,17.0833,81.14,36,81,9.13,NA,1704653926
263,holtville,32.8112,-115.3803,62.47,41,75,14.97,US,1704653926
264,mount gambier,-37.8333,140.7667,60.57,95,100,9.44,AU,1704653926
265,mwinilunga,-11.7358,24.4293,64.87,96,100,3.33,ZM,1704653926
266,rio grande,-32.035,-52.0986,86.11,83,100,8.37,BR,1704653926
267,arkhara,49.4212,130.0842,-24.23,100,79,1.01,RU,1704653926
268,bafia,4.75,11.2333,76.73,26,5,2.08,CM,1704653659
269,tolanaro,-25.0319,46.9987,77.07,88,40,18.41,MG,1704653927
270,taro,-8.3862,115.28,73.4,90,100,0.67,ID,1704653927
271,weno,7.4515,151.8468,82.42,69,100,20.31,FM,1704653927
272,san patricio,28.017,-97.5169,71.91,58,76,14.5,US,1704653927
273,umm kaddadah,13.6017,26.6876,66.51,26,6,12.24,SD,1704653927
274,guinguineo,14.2667,-15.95,98.42,11,0,9.22,SN,1704653928
275,nurota,40.5614,65.6886,43.05,87,99,8.46,UZ,1704653928
276,mana,5.6592,-53.7767,82.96,62,100,8.88,GF,1704653928
277,zaysan,47.4667,84.8667,16.65,76,36,4.65,KZ,1704653928
278,kailua-kona,19.6406,-155.9956,76.59,78,40,4.61,US,1704653703
279,senise,40.1471,16.2889,46.89,81,100,8.5,IT,1704653928
280,al jawf,29.5,38.75,59.38,57,0,10.6,SA,1704653928
281,el bauga,18.262,33.9081,75.31,30,0,10.25,SD,1704653929
282,tromso,69.6496,18.957,33.82,69,75,4.61,NO,1704653929
283,az zuwaytinah,30.9522,20.1202,61.75,48,2,17.16,LY,1704653929
284,callao,-12.0667,-77.15,77.29,69,0,18.41,PE,1704653929
285,labytnangi,66.6572,66.4183,-18.49,100,58,3.56,RU,1704653929
286,valle de la pascua,9.2155,-66.0073,95.2,26,7,7.0,VE,1704653929
287,blackwater,-23.5833,148.8833,73.18,88,88,8.39,AU,1704653929
288,malmberget,67.1753,20.6549,14.56,92,100,3.44,SE,1704653930
289,selfoss,63.9331,-20.9971,40.05,94,100,17.4,IS,1704653930
290,olyokminsk,60.3736,120.4264,-5.89,99,100,2.44,RU,1704653930
291,muisne,0.6,-80.0333,80.44,81,99,9.82,EC,1704653930
292,crane,31.3974,-102.3501,56.12,27,0,29.15,US,1704653930
293,murzuq,25.9155,13.9184,55.51,27,0,2.33,LY,1704653930
294,howrah,22.5892,88.3103,64.4,82,37,3.44,IN,1704653931
295,tukzar,35.9483,66.4213,35.98,98,100,1.21,AF,1704653931
296,yankton,42.8711,-97.3973,21.45,86,100,8.05,US,1704653767
297,navia,43.5354,-6.7194,41.79,88,6,3.2,ES,1704653931
